historical_index,historical_name,historical_version,normalized_name,present_in_B4B,present_in_P1B,present_in_M1L,historical_agreement,provenance_class,provenance_evidence,provenance_confidence,source_kind,source_locator,source_locator_authority,source_availability,source_query_timestamp,cardiosentinel_reference_class,reference_evidence,reference_locations,dependency_role,necessity_class,necessity_evidence,reconstructibility_class,reconstructibility_evidence,wheel_or_sdist_byte_authority,candidate_v2_disposition,disposition_basis,human_review_required,notes
1,a2a-sdk,0.3.1,a2a-sdk,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/a2a-sdk/0.3.1/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,not reached by the J1 closure; no declared role established,,UNRESOLVED,UNKNOWN,no direct import and no transitive relation established,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,UNRESOLVED_DO_NOT_EXCLUDE,necessity unknown; exclusion would be a guess,True,required_by=0 (explicitly installed root)
2,absolufy-imports,0.3.1,absolufy-imports,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/absolufy-imports/0.3.1/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,explicitly installed (required by no installed distribution) and provides 1 console script(s); not in the J1 closure,,INTERACTIVE_TOOLING,NOT_REQUIRED_BY_J1_STATIC_CLOSURE,no J1 import and no transitive relation to the J1 closure,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,EXCLUDE_IF_HUMAN_APPROVED,command-line tooling with no established J1 relation,True,required_by=0 (explicitly installed root); console_scripts=1
3,aiohappyeyeballs,2.6.1,aiohappyeyeballs,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/aiohappyeyeballs/2.6.1/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,TRANSITIVE,reached via Requires-Dist from wfdb -> aiohttp,,TRANSITIVE_SCIENTIFIC,REQUIRED_ONLY_TRANSITIVELY,reached via Requires-Dist from wfdb -> aiohttp,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,RETAIN_TRANSITIVE,required by a retained distribution,False,
4,aiohttp,3.13.3,aiohttp,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 120 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/aiohttp/3.13.3/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,TRANSITIVE,reached via Requires-Dist from wfdb,,TRANSITIVE_SCIENTIFIC,REQUIRED_ONLY_TRANSITIVELY,reached via Requires-Dist from wfdb,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,RETAIN_TRANSITIVE,required by a retained distribution,False,
5,aiosignal,1.4.0,aiosignal,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/aiosignal/1.4.0/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,TRANSITIVE,reached via Requires-Dist from wfdb -> aiohttp,,TRANSITIVE_SCIENTIFIC,REQUIRED_ONLY_TRANSITIVELY,reached via Requires-Dist from wfdb -> aiohttp,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,RETAIN_TRANSITIVE,required by a retained distribution,False,
6,aiosqlite,0.21.0,aiosqlite,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/aiosqlite/0.21.0/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,"required by 2 installed distribution(s), none in the J1 closure",,TRANSITIVE_RUNTIME_SUPPORT,NOT_REQUIRED_BY_J1_STATIC_CLOSURE,reachable only from distributions outside the J1 closure,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,UNRESOLVED_DO_NOT_RETAIN,no path to the J1 closure established,True,"required_by=2 (google-adk, prefect)"
7,alembic,1.17.0,alembic,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/alembic/1.17.0/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,"required by 2 installed distribution(s), none in the J1 closure",,TRANSITIVE_RUNTIME_SUPPORT,NOT_REQUIRED_BY_J1_STATIC_CLOSURE,reachable only from distributions outside the J1 closure,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,UNRESOLVED_DO_NOT_RETAIN,no path to the J1 closure established,True,"required_by=2 (prefect, sqlalchemy-spanner); console_scripts=1"
8,altair,5.5.0,altair,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/altair/5.5.0/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,"required by 1 installed distribution(s), none in the J1 closure",,TRANSITIVE_RUNTIME_SUPPORT,NOT_REQUIRED_BY_J1_STATIC_CLOSURE,reachable only from distributions outside the J1 closure,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,UNRESOLVED_DO_NOT_RETAIN,no path to the J1 closure established,True,required_by=1 (streamlit)
9,annotated-doc,0.0.3,annotated-doc,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/annotated-doc/0.0.3/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,"required by 1 installed distribution(s), none in the J1 closure",,TRANSITIVE_RUNTIME_SUPPORT,NOT_REQUIRED_BY_J1_STATIC_CLOSURE,reachable only from distributions outside the J1 closure,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,UNRESOLVED_DO_NOT_RETAIN,no path to the J1 closure established,True,required_by=1 (fastapi)
10,annotated-types,0.7.0,annotated-types,True,True,True,ALL_THREE_AGREE,PYPI_INDEX,pypi.org served 2 artifacts for this exact version,DIAGNOSTIC_INDEX_QUERY,PYPI_INDEX,https://pypi.org/pypi/annotated-types/0.7.0/json,DIAGNOSTIC_QUERY,AVAILABLE_FROM_QUERIED_SOURCE,2026-09-05T20:04:00Z,NONE_FOUND,"required by 1 installed distribution(s), none in the J1 closure",,TRANSITIVE_RUNTIME_SUPPORT,NOT_REQUIRED_BY_J1_STATIC_CLOSURE,reachable only from distributions outside the J1 closure,RECONSTRUCTIBLE_FROM_IDENTIFIED_SOURCE_BUT_BYTES_UNBOUND,index serves this version; no artifact digest is bound by any authority,ABSENT,UNRESOLVED_DO_NOT_RETAIN,no path to the J1 closure established,True,required_by=1 (pydantic)
